File,Polarity,Subjectivity,year
257-Attend.txt,0,0,2019
258-Attend.txt,0.25,0.25,2020
261-Attend.txt,-0.1,0.4,2022
262-Attend.txt,0.023333333,0.515384615,2021
263-Attend.txt,-0.036111111,0.386324786,2014
264-Attend.txt,0,0,2011
266-Attend.txt,0.0625,0.45,2010
267-Attend.txt,-0.1,0.4,2018
274-Attend.txt,-0.15625,0.3,2013
275-Attend.txt,0.0075,0.53,2020
276-Attend.txt,-0.15625,0.3,2011
277-Attend.txt,-0.049166667,0.5,2020
280-Attend.txt,-0.0325,0.347692308,2014
281-Attend.txt,0.025,0.525,2021
282-Attend.txt,-0.011363636,0.563636364,2018
284-Attend.txt,0.04625,0.25,NA
285-Attend.txt,-0.194444444,0.5,2021
286-Attend.txt,-0.1,0.4,2020
287-Attend.txt,-0.316071429,0.589285714,2021
288-Attend.txt,0.11,0.38,2021
293-Attend.txt,-0.197916667,0.435416667,2021
294-Attend.txt,0,1,2012
295-Attend.txt,0,0,2006
297-Attend.txt,0.1,0.4,2021
298-Attend.txt,0,0.15,2013
299-Attend.txt,0,0.45,2018
300-Attend.txt,-0.033333333,0.75,2022
301-Attend.txt,0.05,0.425,2017
302-Attend.txt,0,0,2022
303-Attend.txt,0.068783069,0.524420024,2018
305-Attend.txt,-0.011111111,0.261111111,2021
306-Attend.txt,-0.116666667,0.8,2018
308-Attend.txt,-0.1,0.4,2012
309-Attend.txt,-0.1,0.4,2021
311-Attend.txt,-0.09,0.44,2022
312-Attend.txt,-0.090848214,0.444642857,2018
313-Attend.txt,-0.090848214,0.444642857,2014
314-Attend.txt,-0.090848214,0.444642857,2019
315-Attend.txt,-0.00625,0.5,NA
316-Attend.txt,-0.1,0.4,2022
317-Attend.txt,0.233333333,0.516666667,2015
323-Attend.txt,0,0,2017
324-Attend.txt,-0.00625,0.28125,2022
325-Attend.txt,-0.083333333,0.441666667,2022
326-Attend.txt,0.0625,0.496428571,2014
327-Attend.txt,-0.1075,0.345,2014
328-Attend.txt,-0.1,0.4,NA
329-Attend.txt,-0.1,0.4,2014
330-Attend.txt,0.1,0.4,2017
331-Attend.txt,-0.116666667,0.5,2021
332-Attend.txt,-0.077777778,0.380952381,2021
335-Attend.txt,-0.065625,0.4375,2019
338-Attend.txt,-0.034375,0.46875,2018
339-Attend.txt,-0.065625,0.4375,2019
340-Attend.txt,-0.065625,0.4375,2019
343-Attend.txt,-0.078125,0.5125,2021
344-Attend.txt,-0.033333333,0.3,2021
345-Attend.txt,-0.05,0.125,2017
346-Attend.txt,-0.0875,0.5375,2022
347-Attend.txt,-0.108333333,0.475,2021
348-Attend.txt,0.025,0.266666667,2022
350-Attend.txt,0.04,0.66625,2013
351-Attend.txt,0.325,0.5,2013
352-Attend.txt,0.441666667,0.658333333,2011
353-Attend.txt,0.175,0.558333333,2019
354-Attend.txt,0.5,0.5,2012
356-Attend.txt,-0.125,0.2875,2014
