Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
13-Attend.txt,1,53,32.25,92.68,10.87,49.04,13.25,18.87,81.13,69.81,64.15,16.98,11.32,1.89,1.89,7.55,0,0,5.66,9.43,3.77,1.89,16.98,16.98,3.77,3.77,1.89,20.75,3.77,3.77,3.77,1.89,1.89,0,9.43,0,9.43,1.89,0,1.89,3.77,1.89,3.77,0,1.89,1.89,0,0,0,0,0,0,0,0,11.32,1.89,0,0,0,0,1.89,9.43,0,0,0,0,0,0,0,0,5.66,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,5.66,0,0,5.66,0,0,0,0,0,5.66,7.55,0,0,0,0,0,11.32,7.55,0,0,0,0,3.77,0
130-Attend.txt,1,15,22.17,99,1,97.84,7.5,46.67,80,53.33,53.33,6.67,6.67,0,0,6.67,0,0,0,13.33,6.67,0,6.67,20,6.67,6.67,0,20,0,0,0,0,0,0,13.33,0,13.33,0,0,6.67,0,0,0,0,6.67,6.67,0,6.67,6.67,0,0,0,0,0,13.33,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,6.67,6.67,0,0,6.67,6.67,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,0,40,6.67,26.67,0,6.67,0,0,0
132-Attend.txt,1,98,76.24,52.23,59.08,51.68,24.5,27.55,84.69,66.33,57.14,12.24,4.08,0,3.06,1.02,0,0,8.16,16.33,8.16,2.04,19.39,8.16,2.04,11.22,1.02,13.27,5.1,1.02,7.14,4.08,1.02,2.04,10.2,1.02,9.18,1.02,1.02,0,3.06,0,5.1,0,2.04,2.04,0,0,0,0,0,0,0,0,8.16,4.08,2.04,1.02,0,0,1.02,4.08,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,3.06,3.06,2.04,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,2.04,10.2,0,2.04,10.2,0,0,0,1.02,0,4.08,3.06,0,0,0,0,0,12.24,4.08,6.12,0,0,0,2.04,0
133-Attend.txt,1,62,74.04,11.07,86.48,20.23,12.4,20.97,83.87,66.13,50,4.84,1.61,0,1.61,0,0,0,3.23,11.29,8.06,3.23,14.52,12.9,1.61,6.45,4.84,22.58,3.23,3.23,1.61,1.61,0,0,9.68,4.84,4.84,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,4.84,3.23,0,0,0,0,1.61,1.61,0,0,0,0,0,0,0,0,8.06,0,0,8.06,0,0,3.23,0,0,0,0,0,0,0,0,1.61,0,3.23,0,1.61,0,0,0,0,6.45,11.29,0,1.61,11.29,0,0,0,6.45,3.23,3.23,4.84,1.61,0,1.61,0,0,12.9,6.45,1.61,1.61,0,0,3.23,0
134-Attend.txt,1,41,89.52,98.98,14.11,98.92,13.67,43.9,80.49,60.98,48.78,12.2,7.32,0,0,4.88,0,2.44,4.88,14.63,4.88,0,19.51,4.88,2.44,4.88,0,14.63,2.44,2.44,7.32,4.88,2.44,0,9.76,0,9.76,7.32,2.44,0,0,0,0,0,7.32,7.32,0,0,0,0,0,0,0,0,14.63,2.44,2.44,0,0,0,0,12.2,0,0,0,0,0,0,0,0,4.88,0,0,4.88,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,2.44,7.32,0,2.44,2.44,0,0,2.44,0,0,2.44,2.44,0,0,0,0,0,9.76,7.32,2.44,0,0,0,0,0
135-Attend.txt,1,84,26.1,40.06,95.34,57.46,21,25,89.29,70.24,53.57,11.9,9.52,1.19,1.19,7.14,0,0,2.38,7.14,2.38,2.38,11.9,10.71,3.57,7.14,5.95,21.43,4.76,1.19,3.57,1.19,1.19,1.19,22.62,1.19,21.43,5.95,1.19,0,9.52,0,11.9,0,2.38,2.38,0,1.19,1.19,0,0,0,0,0,14.29,3.57,2.38,1.19,0,0,1.19,10.71,0,0,0,0,1.19,0,0,1.19,11.9,0,0,11.9,0,0,2.38,2.38,2.38,0,0,0,0,0,0,1.19,0,0,0,1.19,0,0,1.19,0,5.95,5.95,0,2.38,3.57,0,0,1.19,2.38,3.57,2.38,4.76,0,0,0,0,0,19.05,4.76,4.76,0,0,0,9.52,0
137-Attend.txt,1,152,44.4,79.9,52.19,13.22,16.89,18.42,89.47,69.74,55.92,12.5,10.53,1.32,0.66,8.55,0,0,1.97,7.89,4.61,0,14.47,10.53,3.95,7.89,2.63,19.74,5.26,3.29,5.92,1.32,3.95,1.32,17.76,0,17.76,3.29,3.29,2.63,4.61,0,7.89,0,1.97,0.66,1.32,1.32,0,0.66,0,0,0,0,16.45,4.61,0.66,0.66,0,0.66,0,9.87,0,0,0,0,0,0,0,0,8.55,0,0,7.89,0.66,0,1.32,1.32,1.32,0,0,0,0,0,0,3.29,0,0.66,0.66,0.66,0,0.66,0,1.32,7.24,8.55,0.66,0.66,7.24,0.66,0,0,0.66,1.32,4.61,3.95,0,0,0,0,0,15.13,6.58,3.95,0,0,0.66,3.95,0
138-Attend.txt,1,61,65.02,49.82,18.18,71.67,20.33,22.95,86.89,57.38,45.9,1.64,1.64,0,0,1.64,0,0,0,6.56,0,3.28,16.39,6.56,6.56,11.48,1.64,13.11,4.92,6.56,3.28,0,3.28,0,13.11,4.92,8.2,1.64,3.28,0,3.28,0,1.64,0,3.28,3.28,0,0,0,0,0,0,0,0,11.48,6.56,0,0,0,0,4.92,3.28,0,0,0,0,0,0,0,0,18.03,0,0,18.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,0,3.28,0,0,4.92,6.56,0,1.64,4.92,0,0,0,3.28,4.92,4.92,3.28,0,0,0,0,0,14.75,4.92,3.28,0,0,0,6.56,0
14-Attend.txt,1,453,82.58,58.46,46.66,20.23,37.75,20.53,83.44,66.23,51.88,8.61,5.3,0,0,4.86,0,0,3.31,17.88,9.49,2.87,13.69,8.17,2.65,6.84,1.1,13.69,5.52,7.51,1.99,0,1.1,0.88,14.35,0.44,13.47,0.88,3.97,0,4.42,0,7.06,0,0.44,0.22,0.22,0,0,0,0,0,0,0,12.36,5.52,0.22,0.22,0,2.65,0.22,6.4,0,0,0,0,0,0,0,0,6.4,0,0.22,5.96,0.44,0,0,0,0,0,0,0,0,0,0,0.22,0,1.99,1.1,0.44,0,0,0.22,0,3.97,4.19,0,0.88,3.09,0.22,0,0,5.74,2.43,2.87,3.09,0,0,0,0,0,9.93,3.75,3.09,0,0,0,3.09,0
140-Attend.txt,1,119,85.64,35.26,15.84,20.23,23.8,33.61,82.35,56.3,45.38,1.68,1.68,0,0,1.68,0,0,0,9.24,5.88,0.84,16.81,10.08,2.52,10.08,0.84,17.65,3.36,3.36,2.52,0,1.68,0.84,21.01,4.2,16.81,0.84,5.88,3.36,3.36,2.52,5.88,0,1.68,0.84,0.84,0,0,0,0,0,0,0,12.61,8.4,0,0,0.84,1.68,5.04,4.2,0,0,0,0,0.84,0,0,0.84,15.13,0,0,15.13,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,2.52,0.84,0,0,0,0,5.04,4.2,0,0,4.2,0,0,0,5.04,5.88,5.04,1.68,0,0,0,0,0,13.45,5.88,2.52,0,0,0,5.04,0
