File,Polarity,Subjectivity
142-Attend.txt,0.05,0.475
143-Attend.txt,0.216666667,0.483333333
144-Attend.txt,-0.144791667,0.40849359
145-Attend.txt,0.05,0.475
146-Attend.txt,0.166666667,0.45
147-Attend.txt,0.1,0.55
149-Attend.txt,0.189861111,0.571527778
151-Attend.txt,-0.1,0.4
152-Attend.txt,-0.0875,0.69375
154-Attend.txt,-0.027619048,0.19047619
156-Attend.txt,-0.09702381,0.45
157-Attend.txt,0.025757576,0.298484848
158-Attend.txt,0.057356459,0.302830941
159-Attend.txt,0.047916667,0.329166667
160-Attend.txt,-0.028846154,0.165934066
162-Attend.txt,-0.002823691,0.383094935
163-Attend.txt,-0.047222222,0.396509972
164-Attend.txt,-0.047222222,0.396509972
165-Attend.txt,-0.1,0.4
167-Attend.txt,-0.021590909,0.202272727
168-Attend.txt,0.01,0.535
172-Attend.txt,0.4,0.4
173-Attend.txt,0.098278237,0.297727273
174-Attend.txt,0.155,0.26
176-Attend.txt,0.211111111,0.294444444
177-Attend.txt,-0.139583333,0.448958333
178-Attend.txt,-0.071,0.339290598
179-Attend.txt,0.316666667,0.641666667
181-Attend.txt,0,0
182-Attend.txt,0.088939394,0.621666667
183-Attend.txt,0.088939394,0.621666667
184-Attend.txt,-0.1,0.4
186-Attend.txt,-0.3,0.333333333
187-Attend.txt,0.1125,0.391666667
188-Attend.txt,-0.026666667,0.68
189-Attend.txt,-0.008333333,0.682142857
190-Attend.txt,-0.05,0.238461538
191-Attend.txt,-0.05,0.238461538
193-Attend.txt,0.0625,0.4375
194-Attend.txt,-0.030357143,0.518131868
195-Attend.txt,0.195833333,0.5
200-Attend.txt,0.1,0.3625
203-Attend.txt,0.01,0.535
205-Attend.txt,0.316666667,0.641666667
212-Attend.txt,0.4,1
213-Attend.txt,-0.0609375,0.334375
222-Attend.txt,0.125,0.3375
223-Attend.txt,-0.05,0.2
225-Attend.txt,0.04375,0.095833333
227-Attend.txt,0.3,0.775
228-Attend.txt,-0.045,0.405
229-Attend.txt,0.155357143,0.421428571
230-Attend.txt,0.3,0.538461538
231-Attend.txt,-0.028125,0.2625
233-Attend.txt,0.122222222,0.583333333
236-Attend.txt,0.344444444,0.761111111
237-Attend.txt,0.1,0.333333333
238-Attend.txt,0.097916667,0.408333333
239-Attend.txt,0.120625,0.598400997
240-Attend.txt,0.1,0.366666667
241-Attend.txt,-0.031666667,0.178333333
242-Attend.txt,0.067,0.343
243-Attend.txt,0.1575,0.44
244-Attend.txt,0.111904762,0.419047619
245-Attend.txt,0.229545455,0.510183566
246-Attend.txt,0.244050802,0.568027561
247-Attend.txt,-0.034210526,0.236842105
248-Attend.txt,0.20625,0.420833333
249-Attend.txt,0.1,0.494230769
250-Attend.txt,0.164583333,0.4625
251-Attend.txt,0.164583333,0.4625
252-Attend.txt,-0.078125,0.5125
253-Attend.txt,-0.1,0.4
255-Attend.txt,0,0
256-Attend.txt,0.058333333,0.3125
257-Attend.txt,0,0
258-Attend.txt,0.25,0.25
261-Attend.txt,-0.1,0.4
262-Attend.txt,0.023333333,0.515384615
263-Attend.txt,-0.047916667,0.404326923
264-Attend.txt,0,0
266-Attend.txt,0.0625,0.45
267-Attend.txt,-0.1,0.4
274-Attend.txt,-0.15625,0.3
275-Attend.txt,0.0075,0.53
276-Attend.txt,-0.15625,0.3
277-Attend.txt,-0.049166667,0.5
280-Attend.txt,-0.047916667,0.404326923
281-Attend.txt,0.025,0.525
282-Attend.txt,-0.011363636,0.563636364
284-Attend.txt,0.04625,0.25
285-Attend.txt,-0.194444444,0.5
286-Attend.txt,-0.1,0.4
287-Attend.txt,-0.316071429,0.589285714
288-Attend.txt,0.11,0.38
293-Attend.txt,-0.197916667,0.435416667
294-Attend.txt,0,1
295-Attend.txt,0,0
297-Attend.txt,0.1,0.4
298-Attend.txt,0,0.15
299-Attend.txt,0,0.45
300-Attend.txt,-0.033333333,0.75
301-Attend.txt,0.05,0.425
302-Attend.txt,0,0
303-Attend.txt,0.068783069,0.524420024
305-Attend.txt,-0.011111111,0.261111111
306-Attend.txt,-0.116666667,0.8
308-Attend.txt,-0.1,0.4
309-Attend.txt,-0.1,0.4
311-Attend.txt,-0.09,0.44
312-Attend.txt,-0.090848214,0.444642857
313-Attend.txt,-0.090848214,0.444642857
314-Attend.txt,-0.090848214,0.444642857
315-Attend.txt,-0.00625,0.5
316-Attend.txt,-0.1,0.4
317-Attend.txt,0.233333333,0.516666667
323-Attend.txt,0,0
324-Attend.txt,-0.00625,0.28125
325-Attend.txt,-0.083333333,0.441666667
326-Attend.txt,0.0625,0.496428571
327-Attend.txt,-0.106818182,0.35
328-Attend.txt,-0.1,0.4
329-Attend.txt,-0.1,0.4
330-Attend.txt,0.1,0.4
331-Attend.txt,-0.116666667,0.5
332-Attend.txt,-0.077777778,0.380952381
335-Attend.txt,-0.065625,0.4375
338-Attend.txt,-0.034375,0.46875
339-Attend.txt,-0.065625,0.4375
340-Attend.txt,-0.065625,0.4375
343-Attend.txt,-0.078125,0.5125
344-Attend.txt,-0.033333333,0.3
345-Attend.txt,-0.04,0.105
346-Attend.txt,-0.0875,0.5375
347-Attend.txt,-0.108333333,0.475
348-Attend.txt,0.025,0.266666667
350-Attend.txt,0.04,0.66625
